State,Source_city,Postal_Code ,Weather,Sea_level / m,Latitude / degrees(Optional),Longitude / degrees(Optional)
Texas,Dallas,75201,"8 November 12 am to 9 November 7 am : light winds, Clear
9 November 7 am to 9 November 8 am : light winds, Light Rain
9 November 8 am to 9 November 10 am : light winds, Light Rain, Light Fog
9 November 10 am to 9 November 11 am : light winds, Light Rain
9 November 11 am to 9 November 12 pm : light winds, Light Rain, Light Fog
9 November 12 pm to 9 November 1 pm : light winds, Clear
9 November 1 pm to 9 November 2 pm : light winds, Light Fog
9 November 2 pm to 9 November 7 pm : Cold, light winds, Light Rain
9 November 7 pm to 9 November 8 pm : Cold, light winds, Clear
9 November 8 pm to 9 November 10 pm : Cold, light winds, Light Rain, Light Fog
9 November 10 pm to 9 November 11 pm : Cold, light winds, Light Rain
9 November 11 pm to 10 November 12 am : Cold, light winds, Light Rain, Light Fog",153,32.75198071,-96.80041684
Texas,Houston,77001,"8 November 12 am to 8 November 11 pm : light winds, Clear
8 November 11 pm to 9 November 2 pm : light winds, Clear
9 November 2 pm to 9 November 3 pm : light winds, Light Rain
9 November 3 pm to 9 November 7 pm : Light Rain, Light Fog
9 November 7 pm to 10 November 12 am : Light Rain, Light Fog",21,29.78456383,-95.3767804
Texas,Austin,73301,"8 November 12 am to 8 November 3 am : Clear
8 November 3 am to 8 November 4 pm : light winds, Clear
8 November 4 pm to 8 November 8 pm : Clear
8 November 8 pm to 9 November 2 am : light winds, Clear
9 November 2 am to 9 November 12 pm : Clear
9 November 12 pm to 9 November 3 pm : light winds, Light Rain
9 November 3 pm to 9 November 4 pm : Light Rain, Light Fog
9 November 4 pm to 9 November 9 pm : light winds, Light Rain
9 November 9 pm to 9 November 10 pm : light winds
9 November 10 pm to 9 November 11 pm : Light Rain, Light Fog
9 November 11 pm to 10 November 12 am : Light Rain",218,30.27296093,-97.74206082
Texas,San Antonio,78201,"8 November 12 am to 8 November 9 am : light winds, Clear
8 November 9 am to 8 November 10 am : Light Rain, Light Fog
8 November 10 am to 8 November 5 pm : light winds, Clear
8 November 5 pm to 8 November 7 pm : Clear
8 November 7 pm to 9 November 4 am : light winds
9 November 4 am to 9 November 7 am : Clear
9 November 7 am to 9 November 8 am : Light Rain
9 November 8 am to 9 November 10 am : Clear
9 November 10 am to 9 November 1 pm : Light Rain
9 November 1 pm to 9 November 2 pm : light winds, Light Rain
9 November 2 pm to 9 November 3 pm : light winds
9 November 3 pm to 9 November 11 pm : Light Rain, light winds
9 November 11 pm to 10 November 12 am : Heavy Rain, light winds",202,29.44260537,-98.50909244
Texas,Corpus Christi,78401,"8 November 12 am to 8 November 4 pm : light winds
8 November 4 pm to 8 November 5 pm : Heavy winds
8 November 5 pm to 9 November 5 am : light winds
9 November 5 am to 9 November 8 am : Clear
9 November 8 am to 9 November 2 pm : light winds
9 November 2 pm to 9 November 3 pm : Heavy Rain, Light Fog
9 November 3 pm to 9 November 7 pm : light winds
9 November 7 pm to 9 November 11 pm : Light Rain, light winds
9 November 11 pm to 10 November 12 am : Clear",2,27.74952256,-97.43022589
Texas,Fort Stockton,79735,"8 November 12 am to 8 November 8 am : light winds
8 November 8 am to 8 November 9 am : Clear
8 November 9 am to 9 November 7 am : light winds
9 November 7 am to 9 November 8 am : light winds, Light Fog
9 November 8 am to 9 November 12 pm : Light Rain, light winds
9 November 12 pm to 9 November 1 pm : light winds
9 November 1 pm to 9 November 2 pm : light winds, Light Fog
9 November 2 pm to 9 November 5 pm : light winds, Light Rain
9 November 5 pm to 9 November 6 pm : light winds, Light Rain, Light Fog
9 November 6 pm to 9 November 7 pm : light winds
9 November 7 pm to 9 November 8 pm : light winds, Light Rain
9 November 8 pm to 10 November 12 am : light winds",906,30.89170392,-102.8837323
Texas,Lubbock,79401,"8 November 12 am to 8 November 7 pm : light winds, Clear
8 November 7 pm to 8 November 8 pm : Clear
8 November 8 pm to 9 November 9 am : light winds
9 November 9 am to 9 November 10 am : light winds, Light Rain
9 November 10 am to 9 November 1 pm : light winds
9 November 1 pm to 9 November 3 pm : light winds, Light Rain
9 November 3 pm to 9 November 4 pm : light winds
9 November 4 pm to 9 November 5 pm : light winds, Light Rain
9 November 5 pm to 10 November 12 am : light winds",976,33.56940021,-101.8658858
Texas,Texarkana,75501,"8 November 12 am to 8 November 8 pm : light winds
8 November 8 pm to 9 November 2 am : Clear
9 November 2 am to 9 November 5 am : light winds
9 November 5 am to 9 November 1 pm : Clear
9 November 1 pm to 9 November 4 pm : Light Rain, light winds, Light Fog
9 November 4 pm to 9 November 7 pm : Heavy Rain, light winds, Light Fog
9 November 7 pm to 9 November 9 pm : Light Rain, light winds
9 November 9 pm to 9 November 11 pm : Light Rain, light winds, Light Fog
9 November 11 pm to 10 November 12 am : Light Rain, light winds",91,33.42878463,-94.05404804
Texas,Port Arthur,77640,"8 November 12 am to 8 November 4 am : light winds, Clear
8 November 4 am to 8 November 9 am : Clear
8 November 9 am to 8 November 11 pm : light winds
8 November 11 pm to 9 November 10 am : Clear
9 November 10 am to 9 November 1 pm : light winds
9 November 1 pm to 9 November 3 pm : Light Rain
9 November 3 pm to 9 November 5 pm : light winds
9 November 5 pm to 10 November 12 am : Clear",2,29.88043082,-93.94183553
Texas,Port Lavaca,77979,"8 November 12 am to 8 November 6 am : Clear
8 November 6 am to 8 November 7 am : Light Fog
8 November 7 am to 8 November 8 am : Clear
8 November 8 am to 8 November 9 pm : light winds
8 November 9 pm to 9 November 7 am : Clear
9 November 7 am to 9 November 8 am : Light Fog
9 November 8 am to 9 November 11 am : Clear
9 November 11 am to 9 November 1 pm : Heavy Rain, Light Fog
9 November 1 pm to 9 November 2 pm : Light Rain, Light Fog
9 November 2 pm to 9 November 3 pm : light winds
9 November 3 pm to 9 November 7 pm : Light Rain, light winds
9 November 7 pm to 9 November 9 pm : Clear
9 November 9 pm to 9 November 10 pm : Light Fog
9 November 10 pm to 10 November 12 am : Clear",5,28.61338643,-96.62816081
Texas,Port Isabel,78578,"8 November 12 am to 8 November 3 am : light winds, Clear
8 November 3 am to 8 November 7 am : Clear
8 November 7 am to 9 November 3 am : light winds, Clear
9 November 3 am to 9 November 7 am : Clear
9 November 7 am to 9 November 8 am : Light Fog
9 November 8 am to 9 November 11 am : light winds
9 November 11 am to 9 November 12 pm : Light Rain, Light Fog
9 November 12 pm to 9 November 9 pm : light winds
9 November 9 pm to 9 November 12 am : Clear",2,26.07341078,-97.20858306
Texas,Waco,76701,"8 November 12 am to 8 November 2 am : light winds, Clear
8 November 2 am to 8 November 7 pm : light winds, Clear
8 November 7 pm to 8 November 8 pm : Clear
8 November 7 pm to 9 November 3 am : light winds, Clear
9 November 3 am to 9 November 7 am : Clear
9 November 7 am to 9 November 9 am : light winds, Clear
9 November 9 am to 9 November 10 am : Light Rain
9 November 10 am to 9 November 11 am : Light Rain, light winds
9 November 11 am to 9 November 12 pm : Heavy Rain, Light Fog, light winds
9 November 12 pm to 9 November 1 pm : Light Rain, Light Fog, light winds
9 November 1 pm to 9 November 2 pm : light winds, Clear
9 November 2 pm to 9 November 3 pm : Light Rain, light winds
9 November 3 pm to 9 November 4 pm : Cold, Light Rain, light winds
9 November 4 pm to 9 November 7 pm : Cold, Light Rain, Light Fog, light winds
9 November 7 pm to 9 November 8 pm : Cold, Light Rain, light winds
9 November 8 pm to 9 November 10 pm : Cold, Light Rain, Light Fog, light winds
9 November 10 pm to 10 November 12 pm : Cold, Light Rain, light winds",143,31.54927893,-97.14665885
Texas,College Station,77840,"8 November 12 am to 8 November 2 am : light winds, Clear
8 November 2 am to 8 November 3 am : Clear
8 November 3 am to 8 November 7 am : light winds
8 November 7 am to 8 November 8 am : Clear
8 November 8 am to 8 November 8 am : Clear
8 November 8 am to 9 November 1 am : light winds, Clear
9 November 8 am to 9 November 11 am : Clear
9 November 11 am to 9 November 2 pm : light winds, Clear
9 November 2 pm to 9 November 3 pm : Clear
9 November 3 pm to 9 November 4 pm : Light Rain
9 November 4 pm to 10 November 12 am : Light Rain, light winds",88,30.62796869,-96.33440112
Texas,Fredericksburg,78624,"8 November 12 am to 8 November 3 am : Clear
8 November 3 am to 8 November 7 am : light winds
8 November 7 am to 8 November 9 am : Clear
8 November 9 am to 8 November 11 am : light winds
8 November 11 am to 8 November 12 pm : Clear
8 November 12 am to 8 November 3 pm : light winds
8 November 3 pm to 8 November 9 pm : Clear
8 November 9 pm to 8 November 11 pm : light winds
8 November 11 pm to 9 November 2 pm : Clear
9 November 2 am to 9 November 3 am : light winds
9 November 3 am to 9 November 12 pm : Clear
9 November 12 pm to 9 November 1 pm : light winds, Light Rain, Light Fog
9 November 1 pm to 9 November 2 pm : Light Rain
9 November 2 pm to 9 November 5 pm : Light Rain, Light Fog
9 November 5 pm to 9 November 8 pm : Light Rain, light winds
9 November 8 pm to 9 November 10 pm : Light Rain, light winds, Cold
9 November 10 pm to 9 November 11 pm : Light Rain, Light Fog, Cold
9 November 11 pm to 10 November 12 am : Light Rain, light winds, Cold",516,30.27519486,-98.87183397
Texas,San Angelo,76901,"8 November 12 am to 8 November 6 am : light winds
8 November 6 am to 8 November 7 am : Clear
8 November 7 am to 8 November 8 am : Cold
8 November 8 am to 8 November 9 am : Clear
8 November 9 am to 8 November 2 pm : light winds
8 November 2 pm to 8 November 3 pm : Hot
8 November 3 pm to 8 November 5 pm : Hot, light winds
8 November 5 pm to 8 November 8 pm : Clear
8 November 8 pm to 8 November 9 pm : light winds
8 November 8 pm to 8 November 10 pm : Clear
8 November 10 pm to 8 November 11 pm : light winds
8 November 11 pm to 9 November 12 am : Clear
9 November 12 am to 9 November 3 am : light winds
9 November 3 am to 9 November 4 am : Clear
9 November 4 am to 9 November 6 am : light winds
9 November 6 am to 9 November 8 am : Light Rain, Cold, light winds
9 November 8 am to 9 November 10 am : Light Rain, Cold, Light Fog, light winds
9 November 10 am to 9 November 11 am : Cold, light winds
9 November 11 am to 9 November 12 pm : Light Rain, Cold, light winds
9 November 12 pm to 9 November 9 pm : Cold, light winds
9 November 9 pm to 9 November 10 pm : Light Rain, Cold, light winds
9 November 10 pm to 10 November 12 am : Cold, light winds",562,31.4648531,-100.4348444
Texas,Laredo,78040,"8 November 12 am to 8 November 1 pm : light winds
8 November 1 pm to 8 November 7 pm : light winds, Hot
8 November 7 pm to 8 November 8 pm : Clear
8 November 8 pm to 9 November 4 am : light winds
9 November 4 am to 9 November 5 am : Clear
9 November 5 am to 9 November 6 am : light winds
9 November 6 am to 9 November 12 pm : Clear
9 November 12 pm to 9 November 2 pm : light winds
9 November 2 pm to 9 November 4 pm : Clear
9 November 4 pm to 9 November 7 pm : light winds
9 November 7 pm to 9 November 8 pm : Light Rain, light winds
9 November 8 pm to 9 November 9 pm : light winds
9 November 9 pm to 9 November 11 pm : Light Rain, light winds
9 November 11 pm to 10 November 12 am : light winds",137,27.50357618,-99.50755313
Texas,Del Rio,78840,"8 November 12 am to 8 November 3 am : Clear
8 November 3 am to 8 November 4 am : Heavy Rain
8 November 4 am to 8 November 6 am : Light Fog
8 November 6 am to 8 November 8 am : Clear
8 November 8 am to 8 November 10 am : Light Fog, light winds
8 November 10 am to 9 November 10 am : Clear
9 November 10 am to 9 November 11 am : Light Rain
9 November 11 am to 9 November 12 pm : Clear
9 November 12 pm to 9 November 1 pm : Light Rain
9 November 1 pm to 9 November 4 pm : Light Rain, light winds
9 November 4 pm to 9 November 6 pm : Light Rain
9 November 6 pm to 9 November 9 pm : Heavy Rain, light winds
9 November 9 pm to 9 November 10 pm : Light Rain, light winds
9 November 10 pm to 10 November 12 am : Cold, Light Rain, light winds",305,29.37088595,-100.8958669
Texas,Tyler,75701,"8 November 12 am to 8 November 7 pm : light winds
8 November 7 pm to 8 November 9 pm : Clear
8 November 9 pm to 9 November 3 am : light winds
9 November 3 am to 9 November 11 am : Clear
9 November 11 am to 9 November 12 pm : light winds
9 November 12 pm to 9 November 1 pm : Clear
9 November 1 pm to 9 November 2 pm : Light Rain, Light Fog
9 November 2 pm to 9 November 3 pm : Heavy Rain, Light Fog, light winds
9 November 3 pm to 9 November 5 pm : Light Rain, Light Fog, light winds
9 November 5 pm to 9 November 7 pm : Light Rain, light winds
9 November 7 pm to 9 November 9 pm : Heavy Rain, Light Fog
9 November 9 pm to 9 November 10 pm : Cold, Heavy Rain, Light Fog
9 November 10 pm to 9 November 11 pm : Cold, Light Rain, Light Fog
9 November 11 pm to 10 November 12 am : Cold, Light Rain",165,32.35126068,-95.30106145
Texas,Wichita Falls,76301,"8 November 12 am to 8 November 2 pm : light winds
8 November 2 pm to 8 November 4 pm : Hot, light winds
8 November 4 pm to 8 November 7 pm : Hot
8 November 7 pm to 9 November 7 am : light winds
8 November 7 am to 9 November 10 am : Cold, light winds
9 November 10 am to 9 November 1 pm : Cold, Light Rain, light winds
9 November 1 pm to 9 November 3 pm : Cold, Light Rain, Light Fog, light winds
9 November 3 pm to 9 November 5 pm : Cold, light winds
9 November 5 pm to 9 November 8 pm : Cold, Light Rain, light winds
9 November 8 pm to 9 November 11 pm : Cold, light winds
9 November 11 pm to 10 November 12 am : Cold",290,33.91370783,-98.49338651
Texas,Galveston,77550,"8 November 12 am to 8 November 7 am : light winds
8 November 6 am to 8 November 8 am : Clear
8 November 8 am to 8 November 7 pm : light winds
8 November 7 pm to 8 November 8 pm : Clear
8 November 8 pm to 9 November 1 am : light winds
9 November 1 am to 9 November 6 am : Clear
9 November 6 am to 9 November 7 am : light winds
9 November 7 am to 9 November 11 am : Clear
9 November 11 am to 9 November 7 pm : light winds
9 November 7 pm to 9 November 8 pm : light winds, Light Rain
9 November 8 pm to 9 November 9 pm : light winds, Light Fog, Light Rain
9 November 9 pm to 9 November 10 pm : Light Rain, light winds
9 November 10 pm to 10 November 12 am : Light Rain",2,29.30134721,-94.79769468
Louisiana,Alexandria,71301,"8 November 12 am to 8 November 2 am : clear, light winds
8 November 2 am to 8 November 8 am : light fog, light winds,
8 November 8 am to 8 November 10 am : light winds
8 November 5 am to 8 November 10 am : light winds
8 november 10 am to 9 november 12 am : clear, light winds
9 November 12 am to 9 november 9 am : clear, light winds
9 november 9 am to 9 november 7pm : light winds
9 november 7 pm to 9 november 11 pm : light rain
9 november 11 pm to 9 november 12 am : light rain, light fog",23,31.311295,-92.445137
Louisiana,Lake Charles,70601,8 November 12 am to 10 November 12 am : clear,4,30.226595,-93.217377
Louisiana,Lafayette,70501,"8 November 12 am to 8 November 3am : light fog
8 November 3 am to 8 November 5 am : clear
8 November 5 am to 8 November 7 am : light fog
8 November 7 am to 8 November 10 am : clear
8 November 10 am to 8 November 5 pm : clear, Light winds
8 November 5 pm to 9 November 5 am : clear
9 November 5 am to 9 November 6 am : light fog
9 November 6 am to 10 November 12 am : Clear",15,30.224091,-92.019844
Louisiana,New Orleans,70112,"8 November 12 am to 8 November 4 am : clear, light winds
8 November 4 am to 8 November 7 am : light fog, light winds
8 November 7 am to 8 November 5 pm : clear,light winds
8 November 5 pm to 9 November 12 am : clear, light winds
9 November 12 am to 9 November 10 am : clear,light winds
9 November 10 am to 9 November 5 pm : light winds
9 November 5 pm to 9 November 10 pm : overcast,light winds
9 November 10 pm to 10 November 12 am : light rain, light fog, light winds",7,29.951065,-90.071533
Louisiana,Baton Rouge,70808,"8 November 12 am to 8 November 8 am : clear
8 November 8 am to 8 November 4 pm : light winds
8 November 4 pm to 9 November 12 am : clear, light winds
9 November 12 am to 9 November 4 am : clear
9 November 4 am to 9 November 7 am : light fog
9 November 7 am to 9 November 11 am : clear
9 november 11 am to 9 november 3 pm : light winds
9 November 3 pm to 10 November 12 am : overcast,light winds",14,30.451468,-91.187149
Louisiana,Monroe,71201,"8 November 12 am to 8 November 3 am : heavy rain, light fog, light winds, cold
8 November 3 am to 8 November 5 am : light rain,light fog, light winds,cold
8 November 5 am to 8 November 6 am : light rain,overcast,light winds,cold
8 November 6 am to 8 November 12 pm : light fog,light winds,cold
8 November 12 pm to 8 November 2 pm : light winds,cold
8 November 2 pm to 8 November 7 pm : light fog,light winds,cold
8 November 7 pm to 8 November 11 pm : light winds,cold
8 November 11 pm to 9 November 12 am : clear,cold
9 November 12 am to 9 November 6 am : clear, light winds,cold
9 November 6 am to 9 November 4 pm : clear,light winds,cold,
9 November 4 pm to 9 November 8 pm : Clear,cold
9 November 8 pm to 9 November 11 pm : overcast,cold
9 November 11 pm to 10 November 12 am : clear,cold",72,32.50993,-92.121742
Louisiana,Shreveport,71101,"8 November 12 am to 8 November 5 am : clear,light winds
8 November 5 am to 8 November 9 am : overcast,light winds
8 November 9 am to 8 November 11 am : light winds
8 November 11 am to 8 November 2 pm : overcast,light winds
8 November 2 pm to 9 November 12 am : clear, light winds
9 November 12 am to 9 November 5 am : light winds
9 November 5 am to 9 November 7 am : overcast
9 November 7 am to 9 November 5 pm : light winds
9 November 5 pm to 10 November 12 am : Light rain,light fog,light winds,cold",77,32.523659,-93.763504
Mississippi,Meridian,39305,"8 November 12 am to 8 November 12 pm: Cold
8 November 12 pm to 8 November 3 pm: Cold, light winds
8 November 3 pm to 9 November 10 pm: Cold
9 November 10 pm to 10 November 12 am: Very Cold ",105,32.364311,-88.703659
Mississippi,Jackson,39206,"8 November 12 am to 8 November 6 am: Clear, Light Fog
8 November 6 am to 8 November 9 am: Heavy Fog
8 November 9 am to 8 November 11 pm: Clear, light winds, Light Fog
8 November 11 pm to 9 November 7 am: Clear, Light Fog
9 November 7 am to 9 November 8 am: light winds, Light Fog
9 November 8 am to 9 November 11 pm: Light Fog
9 November 11 pm to 10 November 12 am: light winds, Light Fog",85,32.298756,-90.184807
Mississippi,Biloxi,39531,"8 November 12 am to 8 November 6 am: Clear, Light Fog
8 November 6 am to 8 November 7 am: Heavy Fog
8 November 7 am to 8 November 9 am:  Light Fog
8 November 9 am to 9 November 3 am: Clear, light winds, Light Fog
9 November 3 am to 9 November 9 am: Light Fog
9 November 9 am to 9 November 5 pm: light winds, Light Fog
9 November 5 pm to 10 November 12 am: Mostly Cloudy, Light Fog",6,30.396032,-88.885308
Mississippi,Columbus,39701,"8 November 12 am to 8 November 11 am: Clear, Light Fog
8 November 11 am to 9 November 1 am: Clear, light winds, Light Fog
9 November 1 am to 9 November 8 am: Clear, Light Fog
9 November 8 am to 9 November 4 pm: Light Fog
9 November 4 pm to 10 November 12 am: Clear, Light Fog",66,33.495674,-88.427261
Mississippi,Southaven,38671,"8 November 12 am to 8 November 7 am: Clear, light winds, Light Fog
8 November 7 am to 8 November 2 pm: light winds, Light Fog
8 November 2 pm to 8 November 11 pm: Clear, light winds, Light Fog
8 November 11 pm to 9 November 5 am: light winds, Light Fog
9 November 5 am to 9 November 9 am: Overcast, light winds, Light Fog
9 November 9 am to 9 November 2 pm: light winds, Light Fog
9 November 2 pm to 9 November 5 pm: Rain, light winds, Light Fog 
9 November 5 pm to 9 November 6 pm: Heavy Rain, light winds, Light Fog
9 November 6 pm to 10 November 12 am: Rain, light winds, Light Fog",94,34.988983,-90.012589
Mississippi,Hattiesburg,39401,"8 November 12 am to 8 November 6 am: Clear, Light Fog
8 November 6 am to 8 November 9 am: Heavy Fog
8 November 9 am to 8 November 10 am: Light Fog
8 November 10 am to 9 November 12 am: Clear, Light Fog, light winds
9 November 12 am to 9 November 6 am: Light Fog
9 November 6 am to 9 November 8 am: Heavy Fog
9 November 8 am to 9 November 10 am: Light Fog
9 November 10 am to 9 November 3 pm: light winds, Light Fog
9 November 3 pm to 10 November 12 am: Overcast, Light Fog",52,31.32712,-89.290337
Mississippi,Oxford,38655,"8 November 12 am to 8 November 8 am: Clear, light winds, Light Fog
8 November 8 am to 8 November 2 pm: Cloudy, light winds, Light Fog
8 November 2 pm to 8 November 4 pm: Clear, light winds, Light Fog 
8 November 4 pm to 9 November 1 am: Clear, Light Fog
9 November 1 am to 9 November 4 am: light winds, Light Fog
9 November 4 am to 9 November 1 pm: Overcast, Light Fog
9 November 1 pm to 10 November 12 am: Overcast, light winds, Light Fog",154,34.366495,-89.519248
Alabama,Mobile,36605,"8 November 12 am to 8 November 1 am: Light Fog, Cold
8 November 1 am to 8 November 2 am: Heavy Fog, Cold
8 November 2 am to 8 November 4 am: Light Fog, Cold
8 November 4 am to 8 November 7 am: Heavy Fog, Cold
8 November 7 am to 8 November 8 am: Light Fog
8 November 8 am to 8 November 5 pm: Light Winds
8 November 5 pm to 9 November 12 am: Clear
9 November 12 am to 9 November 2 am: Clear
9 November 2 am to 9 November 3 am: Light Fog, Cold
9 November 3 am to 9 November 6 am: Clear, Cold
9 November 6 am to 9 November 12 pm: Clear
9 November 12 pm to 9 November 4 pm: Light Winds
9 November 4 pm to 9 November 9 pm: Clear
9 November 9 pm to 10 November 12 am: Clear",3,30.69648949,-88.03952639
Alabama,Montgomery,36117,"8 November 12 am to 8 November 2 am: Clear, Cold
8 November 2 am to 8 November 4 am: Light Fog, Cold
8 November 4 am to 8 November 5 am: Clear, Cold 
8 November 5 am to 8 November 8 am: Light Fog, Cold
8 November 8 am to 8 November 1 pm: Clear
8 November 1 pm to 8 November 2 pm: Light Winds
8 November 2 pm to 8 November 3 pm: Clear 
8 November 3 pm to 8 November 4 pm: Clear, Light Winds 
8 November 3 pm to 8 November 5 pm: Clear, Light Winds 
8 November 5 pm to 8 November 9 pm: Clear
8 November 9 pm to 8 November 10 pm: Overcast, Light Winds 
8 November 10 pm to 9 November 12 am: Clear
9 November 12 am to 9 November 2 am: Clear, Cold
9 November 2 am to 9 November 8 am: Light Fog, Cold 
9 November 8 am to 9 November 9 pm: Clear
9 November 9 pm to 9 November 10 pm: Light Fog
9 November 10 pm to 10 November 12 am: Clear",67,32.38081157,-86.31746466
Alabama,Dothan,36305,"8 November 12 am to 8 November 3 am: Clear
8 November 3 am to 8 November 6 am: Light Fog, Cold
8 November 6 am to 8 November 8 am: Heavy Fog, Cold
8 November 4 pm to 9 November 12 am: Clear, Light Winds, Cold
8 November 8 am to 8 November 9 am: Light Fog
8 November 9 am to 8 November 10 am: Clear
8 November 10 am to 8 November 11 am: Light Winds 
8 November 11 am to 8 November 12 pm: Clear
8 November 12 pm to 8 November 1 pm: Light Winds 
8 November 1 pm to 8 November 3 pm: Clear
8 November 3 pm to 8 November 5 pm: Light Winds 
8 November 5 pm to 8 November 7 pm: Clear 
8 November 7 pm to 8 November 11 pm: Clear, Light Winds 
8 November 11 pm to 9 November 12 am: Clear 
9 November 12 am to 9 November 7 am: Heavy Fog, Cold
9 November 7 am to 9 November 8 am: Light Fog, Cold
9 November 8 am to 9 November 3 pm: Clear
9 November 3 pm to 9 November 5 pm: Light Winds
9 November 5 pm to 9 November 10 pm: Clear
9 November 10 pm to 9 November 11 pm: Clear, Light Winds
9 November 11 pm to 10 November 12 am: Clear",98,31.2229192,-85.38874885
Alabama,Birmingham,35211,"8 November 12 am to 8 November 7 am: Clear, Cold
8 November 7 am to 8 November 5 pm: Light Winds
8 November 5 pm to 8 November 8 pm: Clear, Light Winds
8 November 8 pm to 9 November 12 am: Light Winds
9 November 12 am to 9 November 6 am: Clear, Light Winds 
9 November 6 am to 9 November 5 pm: Light Winds 
9 November 5 pm to 9 November 11 pm: Clear
9 November 11 pm to 10 November 12 am: Overcast",196,33.51967994,-86.82268694
Alabama,Huntsville,35801,"8 November 12 am to 8 November 8 am : Clear, Cold
8 November 8 am to 8 November 4 pm : light winds 
8 November 4 pm to 8 November 8 pm : Clear, light winds 
8 November 8 pm to 9 November 12 am : light winds
9 November 12 am to 9 November 7 am : Clear, Cold
9 November 7 am to 9 November 4 pm : light winds
9 November 4 pm to 9 November 9 pm : Clear, light winds
9 November 9 pm to 10 November 12 am : light winds",193,34.729542,-86.585297
Alabama,Florence,50124,"8 November 12 am to 8 November 6 am : Clear, Cold
8 November 6 am to 8 November 9 am : Clear
8 November 9 am to 8 November 11 am : Clear, light winds 
8 November 11 am to 8 November 3 pm : light winds
8 November 3 pm to 9 November 3 am : Clear, light winds
9 November 3 am to 9 November 8 am : light winds
9 November 8 am to 9 November 2 pm : Overcast
9 November 2 pm to 9 November 4 pm : Overcast, light winds
9 November 4 pm to 9 November 5 pm : Light rain, light winds
9 November 5 pm to 9 November 10 pm : light winds
9 November 10 pm to 10 November 12 am : Overcast",185,34.799809,-87.677254
Alabama,Tuscaloosa,35401,"8 November 12 am to 8 November 3 am : Clear
8 November 3 am to 8 November 4 am : Light fog
8 November 4 am to 8 November 7 am : Clear
8 November 7 am to 8 November 8 am : Light fog
8 November 8 am to 8 November 10 am : Clear
8 November 10 am to 8 November 5 pm : Clear, light winds
8 November 5 pm to 8 November 10 pm : Clear
8 November 10 pm to 9 November 1 am : Clear, light winds
9 November 1 am to 9 November 6 am : Clear
9 November 6 am to 9 November 8 am : Light fog
9 November 8 am to 10 November 12 am : Clear",68,33.210678,-87.565582
Alabama,Auburn,36830,"8 November 12 am to 8 November 9 am : Clear
8 November 9 am to 8 November 12 pm : Clear, light winds
8 November 12 pm to 8 November 2 pm : Clear
8 November 2 pm to 8 November 5 pm : Clear, light winds
8 November 5 pm to 8 November 10 pm : Clear
8 November 10 pm to 9 November 12 am : Clear, light winds
9 November 12 am to 9 November 2 am : Clear
9 November 2 am to 9 November 5 am : Clear, Cold
9 November 5 am to 9 November 6 am : Light fog, Cold
9 November 6 am to 9 November 8 am : Heavy fog, Cold
9 November 8 am to 9 November 9 am : Light fog
9 November 9 am to 9 November 12 pm : Clear, light winds
9 November 12 pm to 10 November 12 am : Clear",214,32.609856,-85.480782
Tennessee ,Kingsport,37660,"8 November 12 am to 8 November 9 am: Clear,Cold
8 November 9 am to 8 November 9 pm: Clear
8 November 9 pm to 9 November 8 am: Clear,Cold
9 November 8 am to 9 November 10 am: Clear
9 November 10 am to 9 November 11 am: Clear,light winds
9 November 11 am to 9 November 2 pm: Clear
9 November 2 pm to 9 November 3 pm: Clear,light winds
9 November 3 pm to 9 November 12 am: Clear",369,36.54843,-82.56182
Tennessee ,NashVille,37211,"8 November 12 am to 8 November 2 am: Clear
8 November 2 am to 8 November 5 am: Clear,Cold
8 November 5 am to 8 November 7 am: Clear
8 November 7 am to 8 November 9 pm: Clear,light winds
8 November 9 pm to 9 November 10 am: Clear
9 November 10 am to 9 November 11 am: Clear,light winds
9 November 11 am to 9 November 5 pm: Clear
9 November 5 pm to 9 November 6 pm: Clear,light winds
9 November 6 pm to 9 November 7 pm: Clear
9 November 7 pm to 9 November 8 pm: Clear,light winds
9 November 8 pm to 9 November 12 am: Clear",171,36.16589,-86.78444
Tennessee ,Collierville,38017,"8 November 12 am to 8 November 3 pm: Clear
8 November 3 pm to 9 November 4 am: Clear,light winds
9 November 4 am to 9 November 8 am: Clear
9 November 8 am to 9 November 6 pm: Clear,light winds
9 November 6 pm to 9 November 11 pm: Clear
9 November 11 pm to 9 November 12 am: Clear,light winds",117,35.04204,-89.66453
Tennessee ,Knoxville,37902,"8 November 12 am to 8 November 1am: Clear
8 November 1 am to 8 November 8 am: Clear,Cold
8 November 8 am to 8 November 10 am: Clear
8 November 10 am to 8 November 8 pm: Clear,light winds
8 November 8 pm to 8 November 11 am: Clear
8 November 11 pm to 9 November 2 am: Clear,light winds
9 November 2 am to 9 November 3 am: Clear
9 November 3 am to 9 November 11 am: Clear,light winds
9 November 11 am to 9 November 12 am: Clear
9 November 12 am to 9 November 2 pm: Clear,light winds
9 November 2 pm to 9 November 8 pm: Clear,light winds
9 November 8 pm to 9 November 9 pm: light winds,Light Rain
9 November 8 pm to 9 November 12 am: Clear",277,35.96064,-83.92074
